Feature,Importance
cat__customer_city_perpetuo socorro,0.0
cat__customer_city_quilombo,0.0
cat__customer_city_peruibe,0.0
cat__customer_city_pescador,0.0
cat__customer_city_pesqueira,0.0
cat__customer_city_petrolandia,0.0
cat__customer_city_quijingue,0.0
cat__customer_city_petrolina,0.0
cat__customer_city_quevedos,0.0
cat__customer_city_querencia do norte,0.0
cat__customer_city_piacabucu,0.0
cat__customer_city_piacatu,0.0
cat__customer_city_piacu,0.0
cat__customer_city_querencia,0.0
cat__customer_city_queluz,0.0
cat__customer_city_queixada,0.0
cat__customer_city_queiroz,0.0
cat__customer_city_pianco,0.0
cat__customer_city_queimados,0.0
cat__customer_city_piao,0.0
cat__customer_city_piata,0.0
cat__customer_city_queimadas,0.0
cat__customer_city_piau,0.0
cat__customer_city_quilometro 14 do mutum,0.0
cat__customer_city_perola independente,0.0
cat__customer_city_quinta do sol,0.0
cat__customer_city_perdizes,0.0
cat__customer_city_pendencias,0.0
cat__customer_city_paulistania,0.0
cat__customer_city_penha,0.0
cat__customer_city_quixada,0.0
cat__customer_city_quixabeira,0.0
cat__customer_city_pentecoste,0.0
cat__customer_city_pequi,0.0
cat__customer_city_pequizeiro,0.0
cat__customer_city_perdigao,0.0
cat__customer_city_quitandinha,0.0
cat__customer_city_quissama,0.0
cat__customer_city_quintana,0.0
cat__customer_city_perdoes,0.0
cat__customer_city_pereira barreto,0.0
cat__customer_city_pereiro,0.0
cat__customer_city_quirinopolis,0.0
cat__customer_city_peri mirim,0.0
cat__customer_city_periquito,0.0
cat__customer_city_peritiba,0.0
cat__customer_city_perola,0.0
cat__customer_city_perola d'oeste,0.0
cat__customer_city_quipapa,0.0
cat__customer_city_paulo afonso,0.0
cat__customer_city_rainha do mar,0.0
cat__customer_city_paulistana,0.0
cat__customer_city_paranaita,0.0
cat__customer_city_parambu,0.0
cat__customer_city_regeneracao,0.0
cat__customer_city_paramirim,0.0
cat__customer_city_parana,0.0
cat__customer_city_redentora,0.0
cat__customer_city_paranacity,0.0
cat__customer_city_paranagua,0.0
cat__customer_city_paranaiba,0.0
cat__customer_city_redencao do gurgueia,0.0
cat__customer_city_paranaiguara,0.0
cat__customer_city_paranapanema,0.0
cat__customer_city_parauna,0.0
cat__customer_city_paranapoema,0.0
cat__customer_city_paranapua,0.0
cat__customer_city_paranatinga,0.0
cat__customer_city_paranavai,0.0
cat__customer_city_paranhos,0.0
cat__customer_city_paraopeba,0.0
cat__customer_city_redencao da serra,0.0
cat__customer_city_parapua,0.0
cat__customer_city_parati,0.0
cat__customer_city_paraty,0.0
